depth,median,mode,mean,std,skewness,kurtosis,total
1.0,4.5830295904569,3.12486039650294,31.1001775165092,1.3186106792550811,-0.1511473845281336,-1.3049373490307496,97.84571094533302
2.0,8.67672960231842,27.3729867693626,1.65054442394899,1.2014386750136137,-0.2883991957424531,-1.3552265862711357,94.75712601006538
3.0,4.5830295904569,3.55035107657029,1.27863284686106,1.3269604292617192,-0.05118671473006123,-1.2210946222191237,97.50334804478763
4.0,5.20706910895654,2.75036250980155,40.1461801249002,1.2576991988426307,0.30999589479276973,-1.5885166477753134,93.01994292436878
5.0,4.5830295904569,3.12486039650294,45.6126084820091,1.3502081321131232,0.4218914358196166,-1.2878660140470348,95.6582748666847
6.0,5.91607978309964,4.5830295904569,40.1461801249002,1.1758342092207612,-0.14988642554916135,-1.6686026189369123,93.85287343278011
7.0,5.91607978309964,5.91607978309964,35.3348741117632,1.265351165050325,0.050257312790067545,-1.65899065456032,94.46737986066947
8.0,5.20706910895654,3.12486039650294,35.3348741117632,1.2712460466059545,0.04595548368449848,-1.6326067990752582,95.12692326642804
9.0,5.91607978309964,3.12486039650294,51.8233626726204,1.2563969107172641,-0.08566868498844507,-1.541755934654882,95.55881232453353
10.0,5.20706910895654,3.12486039650294,40.1461801249002,1.2891198977873937,0.007098768558186935,-1.550647078664197,96.0079721835377
11.0,5.20706910895654,3.12486039650294,0.594431443580865,1.2826384516765723,-0.14886617504525657,-1.7013011094316388,96.29271261300326
12.0,5.91607978309964,8.67672960231842,31.1001775165092,1.2177983520958118,-0.08087990293441696,-1.7300595668351644,93.65577908934073
13.0,7.63686974067977,3.12486039650294,51.8233626726204,1.140320529970853,-0.27084222052588863,-1.633047328742987,93.36740402598417
14.0,5.20706910895654,4.5830295904569,31.1001775165092,1.2726484443328807,0.40452859363470256,-1.4294402144530263,92.17048285773211
15.0,4.03377788684902,2.75036250980155,31.1001775165092,1.4031422534397342,0.4875243012744425,-1.330341128084992,95.97467223751337
16.0,5.20706910895654,2.75036250980155,35.3348741117632,1.121043836002397,0.029308479143579265,-1.636849444822945,90.67000621567487
17.0,5.20706910895654,2.75036250980155,40.1461801249002,1.1826444578443245,0.23768128964406937,-1.5790538419179698,90.98203697454409
18.0,5.20706910895654,5.20706910895654,0.594431443580865,1.2983583741819498,0.06628900225062373,-1.5292865073833968,95.64359332445713
19.0,5.20706910895654,2.75036250980155,40.1461801249002,1.146236674214956,-0.10775974804432412,-1.3772429998932794,92.8651503047477
20.0,4.5830295904569,3.12486039650294,40.1461801249002,1.3384931285292947,0.4306033945422425,-1.292209837508595,95.11862843074762
30.0,5.20706910895654,3.12486039650294,35.3348741117632,1.243427729734383,0.14021523040512174,-1.7130473548085423,93.36902277382838
39.0,5.91607978309964,2.75036250980155,40.1461801249002,1.0512359154087636,-0.08132514985450255,-1.4829061880364784,88.49757075837087
50.0,4.5830295904569,3.12486039650294,35.3348741117632,1.3049451025548218,0.33508226622250353,-1.4815498724538219,94.15459285610896
57.0,4.5830295904569,4.03377788684902,31.1001775165092,1.4336030026664952,0.5480660912884121,-1.149465612066721,95.51986196402852
60.0,5.20706910895654,2.75036250980155,27.3729867693626,1.1534360517435762,-0.04625242196694801,-1.5835005312170174,92.03185285552935
70.0,4.5830295904569,2.75036250980155,27.3729867693626,1.2744840497834986,0.18064431023301106,-1.4400172563161655,93.21979001722015
80.0,5.20706910895654,2.75036250980155,27.3729867693626,1.1115818196254594,0.32877791044462285,-1.2636806129841236,85.39550040668115
90.0,4.5830295904569,3.12486039650294,31.1001775165092,1.3333081663849338,0.3099103154376305,-1.4925124392433289,94.27508231462537
